Ratio,Phase
1.08,2.467300824965367
1.0825,2.4574071194699374
1.085,2.4476859651245824
1.0875,2.438130043191608
1.0899999999999999,2.4287325469508234
1.0925,2.4194871325306813
1.095,2.41038787566427
1.0975,2.401429233519374
1.0999999999999999,2.392606010892456
1.1025,2.3839133301712114
1.105,2.375346604563988
1.1075,2.366901514171394
1.11,2.3585739845394245
1.1125,2.350360167386129
1.115,2.3422564232381444
1.1175,2.334259305750481
1.1199999999999999,2.326365547513917
1.1225,2.3185720471809423
1.125,2.3108758577631643
1.1275,2.303274175972409
1.13,2.2957643324927273
1.1324999999999998,2.288343783091325
1.135,2.2810101004670837
1.1375,2.273760966783035
1.14,2.2665941667981278
1.1425,2.2595075815471226
1.145,2.2524991825147103
1.1475,2.245567026257394
1.15,2.2387092494316585
1.1525,2.231924064191463
1.155,2.225209753921998
1.1575,2.2185646692800907
1.16,2.2119872245146874
1.1624999999999999,2.205475894043512
1.165,2.199029209264385
1.1675,2.1926457555817853
1.1700000000000002,2.1863241696311313
1.1725,2.1800631366848844
1.175,2.173861388226098
1.1775,2.1677176996763725
1.18,2.161630888266302
1.1825,2.1555998110376393
1.185,2.1496233629673434
1.1875,2.143700475204466
1.19,2.13783011341172
1.1925,2.1320112762041807
1.195,2.126242993678236
1.1975,2.120524326024497
1.2,2.114854362218823
1.2025,2.109232218786177
1.2049999999999998,2.1036570386323774
1.2075,2.0981279899392344
1.21,2.0926442651189125
1.2125,2.0872050798236605
1.2149999999999999,2.081809672007352
1.2174999999999998,2.076457301034978
1.22,2.071147246840754
1.2225000000000001,2.065878809122231
1.2249999999999999,2.0606513065815726
1.2275,2.0554640762006295
1.2300000000000002,2.0503164725522245
1.2325000000000002,2.0452078671446996
1.235,2.040137647797785
1.2375,2.035105218047975
1.24,2.03010999658171
1.2425000000000002,2.0251514166947917
1.245,2.020228925776556
1.2475,2.0153419848174163
1.25,2.0104900679385027
1.2550000000000001,2.0008892658824067
1.26,1.9914225585973169
1.265,1.9820861683621773
1.27,1.9728764889385335
1.275,1.9637900747317438
1.28,1.9548236308249036
1.285,1.9459740038007531
1.2899999999999998,1.9372381732763513
1.2950000000000002,1.9286132440837305
1.3,1.9200964390369748
1.3050000000000002,1.9116850922326067
1.31,1.9033766428357453
1.3150000000000002,1.8951686293094712
1.32,1.8870586840491415
1.325,1.8790445283872979
1.33,1.8711239679381766
1.335,1.8632948882532858
1.34,1.8555552507665691
1.345,1.8479030889960946
1.3499999999999999,1.8403365049962481
1.355,1.83285366602954
1.3599999999999999,1.825452801446235
1.365,1.8181321997552136
1.3699999999999999,1.810890205871849
1.3749999999999998,1.803725218529916
1.3800000000000001,1.7966356878456722
1.385,1.789620113023246
1.3900000000000001,1.7826770401913743
1.395,1.7758050603623712
1.4000000000000001,1.769002807504914
1.405,1.7622689567229655
1.41,1.7556022225336978
1.415,1.749001357237896
1.42,1.7424651493767938
1.425,1.735992422269768
1.43,1.7295820326277447
1.4349999999999998,1.7232328692375303
1.44,1.7169438517126787
1.4449999999999998,1.710713929306782
1.4500000000000002,1.7045420797853845
1.455,1.6984273083530157
1.46,1.6923686466316132
1.465,1.686365151690051
1.47,1.6804159051144811
1.475,1.6745200121277106
1.48,1.668676600746144
1.485,1.6628848209760099
1.49,1.6571438440459865
1.4949999999999999,1.651452861674195
1.5,1.6458110853676926
1.505,1.6402177457527056
1.51,1.6346720919339628
1.515,1.6291733908815846
1.5199999999999998,1.6237209268440838
1.525,1.6183140007861168
1.5299999999999998,1.6129519298497206
1.535,1.6076340468378394
1.5399999999999998,1.6023596997183187
1.545,1.5971282511519478
1.55,1.591939078030304
1.555,1.5867915710431681
1.56,1.5816851342558094
1.565,1.5766191847049233
1.5699999999999998,1.5715931520101494
1.5799999999999998,1.5616586163549595
1.5899999999999999,1.5518772020603544
1.5999999999999999,1.5422447627362788
1.6099999999999999,1.5327573207576286
1.62,1.5234110579065119
1.63,1.5142023066805974
1.64,1.505127542199463
1.65,1.4961833746654039
1.66,1.487366542330606
1.67,1.4786739049297681
1.6799999999999997,1.4701024375408283
1.6899999999999997,1.4616492248399728
1.7,1.4533114557202431
1.71,1.4450864182446823
1.72,1.4369714949141041
1.73,1.4289641582149013
1.7399999999999998,1.4210619664389483
1.7499999999999998,1.4132625597476025
1.7599999999999998,1.4055636564652536
1.77,1.3979630495857842
1.78,1.3904586034771178
1.79,1.383048250770206
1.7999999999999998,1.3757299894199617
1.8099999999999998,1.3685018799265976
1.8199999999999998,1.3613620427067534
1.8299999999999998,1.3543086556046218
1.8399999999999999,1.3473399515340247
1.85,1.3404542162430984
1.8599999999999999,1.3336497861938357
1.8699999999999999,1.3269250465493503
1.88,1.3202784292622063
1.89,1.313708411257684
1.9,1.3072135127062428
1.9100000000000001,1.3007922953798863
1.92,1.2944433610861505
1.93,1.2881653501823012
1.94,1.2819569401491444
1.95,1.2758168442404116
1.96,1.269743810190156
1.9699999999999998,1.2637366189798227
1.9799999999999998,1.2577940836609605
1.9899999999999998,1.2519150482305044
1.9999999999999998,1.2460983865558122
2.01,1.2403430013467736
2.02,1.2346478231724962
2.03,1.2290118095202427
2.04,1.223433943894392
2.05,1.2179132349534019
2.06,1.212448715682795
2.07,1.2070394426023814
2.08,1.201684495005975
2.09,1.1963829742320158
2.1,1.1911340029635573
2.11,1.1859367245562105
2.1199999999999997,1.180790302392671
2.13,1.175693919262577
2.1399999999999997,1.1706467767664899
2.15,1.1656480947428554
2.16,1.1606971107168853
2.17,1.1557930793703415
2.1799999999999997,1.1509352720312638
2.19,1.146122976182732
2.1999999999999997,1.1413554949898197
2.21,1.1366321468446339
2.22,1.1319522649246654
2.23,1.127315196773023
2.2399999999999998,1.1227203038882925
2.25,1.1181669613314886
2.26,1.1136545573464334
2.27,1.1091824929934182
2.28,1.1047501817956284
2.2899999999999996,1.100357049397747
2.3,1.096002533236284
2.3099999999999996,1.091686082221102
2.32,1.0874071564276973
2.33,1.0831652267998102
2.3400000000000003,1.0789597748619197
2.35,1.0747902924412491
2.36,1.0706562813988931
2.37,1.066557253369706
2.38,1.0624927295106197
2.39,1.0584622402570298
2.4,1.054465325086988
2.4099999999999997,1.0505015322928495
2.42,1.0465704187601244
2.4299999999999997,1.042671549753246
2.44,1.0388044987080063
2.4499999999999997,1.0349688470303846
2.4599999999999995,1.03116418390157
2.4699999999999998,1.0273901060889088
2.4799999999999995,1.0236462177625967
2.4899999999999998,1.0199321303178666
2.4999999999999996,1.016247462202525
2.5100000000000002,1.0125918387495805
2.52,1.0089648920148502
2.53,1.0053662606184934
2.54,1.0017955895947726
2.55,0.998252530239716
2.56,0.9947367399690439
2.57,0.9912478821774631
2.5799999999999996,0.9877856261024824
2.59,0.9843496466920651
2.5999999999999996,0.9809396244760302
2.61,0.9775552454410263
2.62,0.974196200909005
2.6300000000000003,0.9708621874190522
2.64,0.9675529066124602
2.65,0.9642680651209554
2.66,0.9610073744579575
2.67,0.9577705509127865
2.68,0.9545573154477056
2.69,0.9513673935977316
2.6999999999999997,0.9482005153730979
2.71,0.9450564151643075
2.7199999999999998,0.9419348316496698
2.73,0.9388355077052832
2.7399999999999998,0.9357581903171885
2.7499999999999996,0.9327026304964239
2.76,0.9296685831951885
2.7699999999999996,0.9266558072267346
2.78,0.9236640651842132
2.7899999999999996,0.9206931233663385
2.7999999999999994,0.9177427517007173
2.8099999999999996,0.9148127236710302
2.8199999999999994,0.911902816245667
2.83,0.9090128098081305
2.84,0.906142488089178
2.85,0.9032916381006189
2.86,0.9004600500707323
2.8699999999999997,0.8976475173812659
2.88,0.8948538365059537
2.8899999999999997,0.8920788069505168
2.9000000000000004,0.8893222311941136
2.91,0.886583914632169
2.92,0.8838636655205905
2.93,0.8811612949212702
2.94,0.8784766166489018
2.95,0.8758094472190221
2.96,0.8731596057972775
2.97,0.8705269141498579
2.98,0.867911196595089
2.9899999999999998,0.8653122799561217
3.0,0.8627299935139643
