Ratio,Phase
0.0,3.141592653589793
0.5,3.1415926535897927
1.0,3.1415816501652154
1.0001,3.1170986134352234
1.0002,3.1069540620233336
1.0003,3.0991707007001144
1.0004,3.092609715681591
1.0005,3.0868299801461423
1.0006,3.0816052491138475
1.0007000000000001,3.076801117840254
1.0008,3.0723300110676512
1.0009,3.0681310966519644
1.0010000000000001,3.0641600815015093
1.0011,3.0603835267271795
1.0011999999999999,3.056775452718494
1.0013,3.0533151985227978
1.0014,3.0499860117257054
1.0014999999999998,3.04677408545104
1.0016,3.04366788050516
1.0017,3.0406576358208084
1.0018,3.037735006937184
1.0019,3.0348927938363524
1.002,3.0321247325309213
1.0021,3.029425333054915
1.0022,3.026789751816168
1.0023,3.024213689804957
1.0024,3.021693310531077
1.0025,3.019225173207451
1.0026,3.016806177858446
1.0027,3.014433519838279
1.0028,3.012104651877833
1.0029,3.009817252178123
1.0030000000000001,3.007569197414398
1.0030999999999999,3.005358539761606
1.0032,3.003183487230398
1.0033,3.0010423867468186
1.0033999999999998,2.9989337095249575
1.0035,2.996856038362158
1.0036,2.994808056555843
1.0037,2.9927885381986097
1.0038,2.9907963396445827
1.0039,2.9888303919808563
1.004,2.9868896943625747
1.0041,2.9849733080927447
1.0042,2.98308035134868
1.0043,2.9812099944702313
1.0044,2.9793614557366443
1.0045,2.977533997580246
1.0046,2.97572692316199
1.0047,2.973939573296062
1.0048,2.9721713236588108
1.0049000000000001,2.9704215822600744
1.005,2.9686897871450793
1.0050999999999999,2.9669754043031524
1.0052,2.965277925758695
1.0052999999999999,2.9635968678280014
1.0054,2.961931769522417
1.0055,2.9602821910845023
1.0056,2.958647712643071
1.0057,2.957027932976139
1.0058,2.955422468370897
1.0059,2.9538309515716095
1.006,2.9522530308081536
1.0061,2.950688368896123
1.0062,2.94913664240363
1.0063,2.9475975408784696
1.0064,2.946070766129783
1.0065,2.94455603156036
1.0066,2.9430530615449166
1.0067,2.941561590850461
1.0068000000000001,2.940081364096029
1.0069,2.9386121352467285
1.007,2.9371536671425353
1.0071,2.935705731055381
1.0072,2.934268106275632
1.0072999999999999,2.9328405797235053
1.0074,2.9314229455847554
1.0075,2.9300150049681233
1.0075999999999998,2.928616565583654
1.0077,2.9272274414397
1.0078,2.9258474525562743
1.0079,2.9244764247019814
1.008,2.9231141891312338
1.0081,2.9217605823513813
1.0082,2.9204154458949794
1.0083,2.9190786261058856
1.0084,2.9177499739370854
1.0085,2.9164293447593472
1.0086,2.915116598179804
1.0087,2.9138115978704433
1.0088,2.912514211404594
1.0089,2.9112243101027495
1.0090000000000001,2.9099417688854037
1.0091,2.9086664661336825
1.0091999999999999,2.9073982835564154
1.0093,2.9061371060642993
1.0094,2.9048828216495113
1.0094999999999998,2.903635321271349
1.0096,2.9023944987473365
1.0097,2.9011602506493595
1.0098,2.899932476204589
1.0099,2.898711077200734
1.01,2.897495957896107
1.0101,2.8962870249332613
1.0102,2.895084187256513
1.0103,2.8938873560333747
1.0104,2.892696444579243
1.0105,2.891511368285081
1.0106,2.890332044548653
1.0107,2.8891583927085587
1.0108,2.887990333980574
1.0109,2.8868277913973848
1.0110000000000001,2.8856706897499937
1.0110999999999999,2.884518955532456
1.0112,2.88337251688782
1.0113,2.8822313035570546
1.0113999999999999,2.881095246829726
1.0115,2.879964279496192
1.0116,2.8788383358026532
1.0117,2.8777173514068353
1.0118,2.876601263336111
1.0119,2.875490009946992
1.012,2.874383530886136
1.0121,2.8732817670526325
