i1_freq,params_list,phase_avg,ijj_mag,vjj_mag,iin_mag,iloop_mag,iout_mag,vinput_mag,vin_mag,vbase_mag,vcancel_mag,vout_mag,voutput_mag,leff_input,energy_in,energy_out,energy_out_prev,ifreq_fft,iin_fft,iout_fft,iout_prev_fft,energy_in_fft,energy_out_fft,energy_out_prev_fft,vfreq_fft,vin_fft,vout_fft,pfreq_fft,pin_fft,pout_fft
40000000.0,0.0,0.0,0.0,0.0,2.611101219270809e-09,2.611101219270809e-09,1.8697345619759138e-12,9.999171467023271e-11,9.999171467023271e-11,1.6192549598535468e-10,4.2197238986655766e-10,9.348672809879568e-11,9.348672809879568e-11,2e-05,2.610884880924235e-19,1.747953666123631e-22,7.670080774437194e-28,39999999.99999999,7.86143190727687e-05,5.133471440909178e-08,7.86143190727687e-05,3.930424544733284e-10,1.3176264517315076e-13,6.95273755868447e-19,39999999.99999999,4.9996293182863024e-06,2.566735720454589e-06,79999999.99999999,3.93011053319067e-15,1.3176216442728875e-18
41000000.0,0.0,0.0,0.0,0.0,2.9884566853886304e-09,2.9884566853886304e-09,2.1640101744028195e-12,9.999944498889634e-11,9.999944498889634e-11,1.874071601960082e-10,4.746974450363616e-10,1.0820050872014099e-10,1.0820050872014099e-10,2e-05,2.9884400991221985e-19,2.341470017459461e-22,1.00472325304995e-27,40999999.99999999,8.855360717892701e-05,5.92708808354655e-08,8.855360717892701e-05,4.4273346332914635e-10,1.7565186575059757e-13,8.821959012449677e-19,40999999.99999999,4.999609586028282e-06,2.963544041773275e-06,81999999.99999999,4.426968233946945e-15,1.7565226635308033e-18
42000000.0,0.0,0.0,0.0,0.0,3.392075544884361e-09,3.392075544884361e-09,2.51091396923321e-12,9.999957040237362e-11,9.999957040237362e-11,2.1744959609689204e-10,5.347597161418641e-10,1.255456984616605e-10,1.255456984616605e-10,2e-05,3.392060972608335e-19,3.1523444804452366e-22,1.2944448564977852e-27,41999999.99999999,0.0001009493134411256,6.921577820289699e-08,0.0001009493134411256,5.047050853310842e-10,2.3954119761163154e-13,1.146460936976395e-18,41999999.99999999,4.999589082152917e-06,3.4607889101448496e-06,83999999.99999999,5.046598676773356e-15,2.3953999559235683e-18
43000000.0,0.0,0.0,0.0,0.0,3.923267937177439e-09,3.923267937177439e-09,2.943466480081579e-12,9.999959330254743e-11,9.999959330254743e-11,2.549107528381626e-10,6.097340267975669e-10,1.4717332400407893e-10,1.4717332400407893e-10,2e-05,3.923251981346681e-19,4.33199745968192e-22,1.7316035220245082e-27,42999999.99999999,0.00011685657000045316,8.203047919252701e-08,0.00011685657000045316,5.842323773998294e-10,3.364499758277804e-13,1.536239019630466e-18,42999999.99999999,4.999568080746883e-06,4.101523959626351e-06,85999999.99999999,5.84175405433162e-15,3.3644580477137463e-18
44000000.0,0.0,0.0,0.0,0.0,4.6477876363810145e-09,4.6477876363810145e-09,3.521765115344588e-12,9.999899212273392e-11,9.999899212273392e-11,3.049941548476514e-10,7.098151111482797e-10,1.760882557672294e-10,1.760882557672294e-10,2e-05,4.647740792386051e-19,6.201414763829039e-22,2.430217115200824e-27,43999999.99999999,0.00013803375304168318,9.915003610647716e-08,0.00013803375304168318,6.901061787020431e-10,4.915364829957861e-13,2.143498160111893e-18,43999999.99999999,4.999546585490913e-06,4.957501805323857e-06,87999999.99999999,6.9003229123633684e-15,4.91526638899516e-18
45000000.0,0.0,0.0,0.0,0.0,5.635437292211494e-09,5.635437292211494e-09,4.32657675820483e-12,9.999553873138388e-11,9.999553873138388e-11,3.746899897924836e-10,8.490626087645061e-10,2.163288379102415e-10,2.163288379102415e-10,2e-05,5.635185880216196e-19,9.359633222319107e-22,3.5727922658754016e-27,44999999.99999999,0.00016764722557292808,1.2315868822513355e-07,0.00016764722557292808,8.381564137369154e-10,7.584031242667826e-13,3.161879127258776e-18,44999999.99999999,4.999524512693529e-06,6.1579344112566785e-06,89999999.99999999,8.380564559788827e-15,7.583811466697679e-18
46000000.0,0.0,0.0,0.0,0.0,7.13858904106849e-09,7.13858904106849e-09,5.551256677280245e-12,9.999928709256859e-11,9.999928709256859e-11,4.80746263667538e-10,1.0614849908426125e-09,2.775628338640123e-10,2.775628338640123e-10,2e-05,7.1385381495367185e-19,1.5408225348524257e-21,5.732938518442103e-27,45999999.99999999,0.0002120333974008999,1.59228061065854e-07,0.0002120333974008999,1.0600614157748901e-09,1.2676787715395665e-12,5.057793181503893e-18,45999999.99999999,4.999502100938327e-06,7.9614030532927e-06,91999999.99999999,1.0599172500570846e-14,1.2676303157467637e-17
47000000.0,0.0,0.0,0.0,0.0,9.621697726573011e-09,9.621697726573011e-09,7.581707102920026e-12,9.999987143083645e-11,9.999987143083645e-11,6.565963617907525e-10,1.4130654464314016e-09,3.790853551460014e-10,3.790853551460014e-10,2e-05,9.621685356036725e-19,2.8741141297233995e-21,1.0414920053423279e-26,46999999.99999999,0.00028599055331878735,2.1943627375389118e-07,0.00028599055331878735,1.429803800513661e-09,2.4076139119496336e-12,9.20144211610344e-18,46999999.99999999,4.999479122374684e-06,1.0971813687694558e-05,93999999.99999999,1.4295724323365757e-14,2.4074927565660972e-17
48000000.0,0.0,0.0,0.0,0.0,1.45956918153977e-08,1.45956918153977e-08,1.163637692099967e-11,9.999948119231078e-11,9.999948119231078e-11,1.0077403372836521e-09,2.115459228615292e-09,5.818188460499835e-10,5.818188460499835e-10,2e-05,1.4595616091826266e-18,6.770263392378687e-21,2.3966349701632584e-26,47999999.99999999,0.00043398365154738634,3.4007517984000045e-07,0.00043398365154738634,2.169682018117279e-09,5.782556397160433e-12,2.1188453603670367e-17,47999999.99999999,4.999455648573833e-06,1.7003758992000024e-05,95999999.99999999,2.169225742299072e-14,5.782159066279608e-17
49000000.0,0.0,0.0,0.0,0.0,2.945993407947353e-08,2.945993407947353e-08,2.376277480871084e-11,9.999970415677302e-11,9.999970415677302e-11,2.057925494637778e-09,4.215818407389755e-09,1.188138740435542e-09,1.188138740435542e-09,2e-05,2.9459846924253883e-18,2.823347333047513e-20,9.763736804627917e-26,48999999.99999999,0.0008791786724517796,7.032913287586693e-07,0.0008791786724517796,4.395393707740331e-09,2.4730934655356734e-11,8.695745303558327e-17,48999999.99999999,4.999431680346416e-06,3.516456643793347e-05,97999999.99999999,4.3938578622649904e-14,2.4728233655016583e-16
