i1_freq,params_list,phase_avg,ijj_mag,vjj_mag,iin_mag,iloop_mag,iout_mag,vinput_mag,vin_mag,vbase_mag,vcancel_mag,vout_mag,voutput_mag,leff_input,energy_in,energy_out,energy_out_prev,ifreq_fft,iin_fft,iout_fft,iout_prev_fft,energy_in_fft,energy_out_fft,energy_out_prev_fft,vfreq_fft,vin_fft,vout_fft,pfreq_fft,pin_fft,pout_fft
30000000.0,0.0,-3.045472323122783,1.0329236441290072e-07,1.3401414305205236e-07,1.2103798108891934e-08,1.2103798108891934e-08,1.4227185787083315e-10,9.999999999512247e-11,9.999999999512247e-11,1.235559058059245e-08,2.4710579084862626e-08,7.113592893541656e-09,7.113592893541656e-09,2e-05,1.2103798108301568e-18,1.0120640771009272e-18,1.6481466974341797e-26,30000000.0,0.000338204866736266,1.6562703635747832e-07,0.000338204866736266,1.6910325379531054e-09,1.3716157586280725e-12,1.2868034836960734e-17,30000000.0,5.000024258290115e-06,8.281351817873917e-06,60000000.0,1.2377097158011383e-14,7.228807731465131e-16
31000000.0,0.0,-3.0465410858808806,1.0250351262407531e-07,1.342300793076643e-07,1.2028209804534739e-08,1.2028209804534739e-08,1.4250421465296835e-10,9.999999996714916e-11,9.999999996714916e-11,1.2376035804950629e-08,2.4750187910610933e-08,7.125210732648416e-09,7.125210732648416e-09,2e-05,1.202820980058337e-18,1.0153725596929639e-18,1.6276255998964382e-26,31000000.0,0.00033671811345182856,1.703967357652621e-07,0.00033671811345182856,1.6836139468506355e-09,1.4517523779728273e-12,1.275514739173783e-17,31000000.0,5.000069433720845e-06,8.519836788263102e-06,62000000.0,1.2332983282969251e-14,7.47322870607742e-16
32000000.0,0.0,-3.0475661558665728,1.0174638252185481e-07,1.3436227367126634e-07,1.1955188750837166e-08,1.1955188750837166e-08,1.4262923546854245e-10,9.999998736571331e-11,9.999998736571331e-11,1.2385052184915155e-08,2.477839445947113e-08,7.131461773427121e-09,7.131461773427121e-09,2e-05,1.1955187240384345e-18,1.0171549405170461e-18,1.6079235532666148e-26,32000000.0,0.00033529373578743593,1.7514744861063279e-07,0.00033529373578743593,1.6764825704392603e-09,1.5338314377407127e-12,1.2647462541558176e-17,32000000.0,5.000041430842864e-06,8.75737243053164e-06,64000000.0,1.2293237373782012e-14,7.717463682406001e-16
33000000.0,0.0,-3.0485504527037106,1.010196726349557e-07,1.3462363577860224e-07,1.1884665538478134e-08,1.1884665538478134e-08,1.429164040399452e-10,9.99999999627736e-11,9.99999999627736e-11,1.2411975559908145e-08,2.4823098963815684e-08,7.14582020199726e-09,7.14582020199726e-09,2e-05,1.1884665534053901e-18,1.0212549271854432e-18,1.5890093433167597e-26,33000000.0,0.0003339186149716671,1.7987995405101487e-07,0.0003339186149716671,1.6696068915039033e-09,1.6178398934697611e-12,1.2543934660267104e-17,33000000.0,5.000041377284608e-06,8.993997702550743e-06,66000000.0,1.2257700291693711e-14,7.961307708221619e-16
34000000.0,0.0,-3.049496778836915,1.0032029626820898e-07,1.3480524732671775e-07,1.1816395003890662e-08,1.1816395003890662e-08,1.431076981854929e-10,9.999999997295997e-11,9.999999997295997e-11,1.242873571983797e-08,2.485648225788151e-08,7.155384909274645e-09,7.155384909274645e-09,2e-05,1.1816395000695506e-18,1.0239906639975065e-18,1.5708058974896874e-26,34000000.0,0.00033258937641604416,1.8459520646443243e-07,0.00033258937641604416,1.6629699215602402e-09,1.7037695124823217e-12,1.2444265496791476e-17,34000000.0,5.000069273048549e-06,9.229760323221621e-06,68000000.0,1.2225871069876615e-14,8.204747107340539e-16
35000000.0,0.0,-3.050407797880206,9.964633384274279e-08,1.3497778068161615e-07,1.175022846089355e-08,1.175022846089355e-08,1.432822223957244e-10,9.999999998723697e-11,9.999999998723697e-11,1.2444144647460945e-08,2.488864783000942e-08,7.164111119786219e-09,7.164111119786219e-09,2e-05,1.1750228459393864e-18,1.0264897627328913e-18,1.553263524935919e-26,35000000.0,0.0003313129449937574,1.8929372565686194e-07,0.0003313129449937574,1.656572673330574e-09,1.7916057286527658e-12,1.2348930096049109e-17,35000000.0,5.0000239904957146e-06,9.464686282843098e-06,70000000.0,1.2197639579953285e-14,8.44788616602161e-16
36000000.0,0.0,-3.051283786526944,9.899668314750873e-08,1.351416659543628e-07,1.1686125190582593e-08,1.1686125190582593e-08,1.43460855918273e-10,9.999999998957397e-11,9.999999998957397e-11,1.2459874782305131e-08,2.491806524283664e-08,7.173042795913651e-09,7.173042795913651e-09,2e-05,1.1686125189364196e-18,1.0290508590401743e-18,1.5363621221621517e-26,36000000.0,0.00033006190176784354,1.9396831587998598e-07,0.00033006190176784354,1.6503323351592424e-09,1.881185378265901e-12,1.2255846637343129e-17,36000000.0,5.000069157694064e-06,9.6984157939993e-06,72000000.0,1.2170470797419984e-14,8.690364247523199e-16
37000000.0,0.0,-3.052128926650213,9.836926431275942e-08,1.352966955828424e-07,1.1623898444547424e-08,1.1623898444547424e-08,1.436267181607987e-10,9.999999995320207e-11,9.999999995320207e-11,1.2474125339881916e-08,2.4947233686612428e-08,7.181335908039934e-09,7.181335908039934e-09,2e-05,1.162389843910768e-18,1.031431708482075e-18,1.5200439193029603e-26,37000000.0,0.0003288583327527888,1.986272913313479e-07,0.0003288583327527888,1.644305195156896e-09,1.9726400430814076e-12,1.2166627839856198e-17,37000000.0,5.000041146571652e-06,9.931364566567395e-06,74000000.0,1.2146900857173816e-14,8.932533539864367e-16
38000000.0,0.0,-3.05294495906498,9.776292590293533e-08,1.3544636380136064e-07,1.156346934337394e-08,1.156346934337394e-08,1.4378302733709886e-10,9.999999996622336e-11,9.999999996622336e-11,1.2487796110427904e-08,2.4974720174433744e-08,7.189151366854942e-09,7.189151366854942e-09,2e-05,1.1563469339468188e-18,1.0336779475110457e-18,1.5042805116204255e-26,38000000.0,0.00032769100820869915,2.0327137890674476e-07,0.00032769100820869915,1.638468504154367e-09,2.06596267413247e-12,1.2080407146843794e-17,38000000.0,5.000041084773564e-06,1.0163568945337238e-05,76000000.0,1.212679937125783e-14,9.174258026035421e-16
39000000.0,0.0,-3.053733620131727,9.717635308291564e-08,1.3558689124926026e-07,1.1504742242860077e-08,1.1504742242860077e-08,1.4392960224433525e-10,9.99999999480061e-11,9.99999999480061e-11,1.2500801854629552e-08,2.5000910909389717e-08,7.1964801122167616e-09,7.1964801122167616e-09,2e-05,1.1504742236878313e-18,1.0357865201106276e-18,1.4890398083398025e-26,39000000.0,0.0003265573783187419,2.0790123416586986e-07,0.0003265573783187419,1.6328094150080692e-09,2.1611461583845924e-12,1.1996968650121116e-17,39000000.0,5.000068972302741e-06,1.0395061708293492e-05,78000000.0,1.2109673588068982e-14,9.415530723610732e-16
