v1_freq,pin_sum,pout_sum,phase_avg
150000000.0,5.30666518236901e-22,2.1850039791774854e-22,-3.148537669512477
160000000.0,5.306665929795914e-22,2.185404466025795e-22,-3.148664867361051
170000000.0,5.300638982867301e-22,2.183595815841232e-22,-3.1487686613514385
180000000.0,5.303443643546509e-22,2.1854431825866368e-22,-3.148854536363662
190000000.0,5.298144260203871e-22,2.1839285739860276e-22,-3.1489264678787463
200000000.0,5.297416476305088e-22,2.1843870280626495e-22,-3.1489874148765247
210000000.0,5.297219987129961e-22,2.184748969804334e-22,-3.149039311262374
220000000.0,5.292384550611581e-22,2.1832982789013174e-22,-3.1490840711562944
230000000.0,5.294410647820472e-22,2.184634839208663e-22,-3.1491230527772776
240000000.0,5.290132487978539e-22,2.1833285812851843e-22,-3.149156982980666
250000000.0,5.289379214398754e-22,2.183514056616185e-22,-3.1491869206192655
260000000.0,5.289074584461366e-22,2.1837024551360777e-22,-3.1492131565008012
270000000.0,5.284959630155842e-22,2.182358928757673e-22,-3.149236744446259
280000000.0,5.286429224929333e-22,2.183293325627785e-22,-3.149257544198027
290000000.0,5.282728397936152e-22,2.182069398195716e-22,-3.149276414580628
300000000.0,5.281875543131627e-22,2.182030374528939e-22,-3.149293147956013
310000000.0,5.2814126362202815e-22,2.1820590465231834e-22,-3.149308470649964
320000000.0,5.277706226326847e-22,2.180758151325025e-22,-3.1493221886138127
330000000.0,5.278703905019629e-22,2.181385876034039e-22,-3.149334701110205
340000000.0,5.275321998909524e-22,2.1802000309659444e-22,-3.149346230935428
350000000.0,5.27431643739523e-22,2.179981120225216e-22,-3.149356707903014
360000000.0,5.273665462826384e-22,2.179874330648023e-22,-3.149366292493367
370000000.0,5.270183057629014e-22,2.1785858012620525e-22,-3.149375059988264
380000000.0,5.270764388220846e-22,2.178971349763316e-22,-3.149383191887044
390000000.0,5.267551586934348e-22,2.1777992228783447e-22,-3.1493906264062583
400000000.0,5.266368216305129e-22,2.1774325434927145e-22,-3.1493975143377453
410000000.0,5.26551602928406e-22,2.1772065903408164e-22,-3.1494039138756698
420000000.0,5.26214665138581e-22,2.175913557745713e-22,-3.149409818202564
430000000.0,5.262353852045127e-22,2.176098973800904e-22,-3.149415476904828
440000000.0,5.259217430217234e-22,2.1749233510926266e-22,-3.149420644362824
450000000.0,5.257844678063642e-22,2.1744291393061112e-22,-3.1494254335665364
460000000.0,5.256787128251515e-22,2.1740951972440275e-22,-3.1494299901518827
470000000.0,5.253459365663693e-22,2.1727854593943235e-22,-3.149434292368315
480000000.0,5.253327529029174e-22,2.172800477076095e-22,-3.149438166138198
490000000.0,5.250208618885074e-22,2.1716097380944345e-22,-3.149441902182485
500000000.0,5.248642395292886e-22,2.1710017452805806e-22,-3.14944540275916
510000000.0,5.2473805409886945e-22,2.1705681064965503e-22,-3.1494487552806287
520000000.0,5.244049059618082e-22,2.16923413087244e-22,-3.149451806677434
530000000.0,5.243603038786441e-22,2.1690976826199563e-22,-3.1494548461114844
540000000.0,5.240462235044086e-22,2.167883226333554e-22,-3.1494576239523018
550000000.0,5.238703192500194e-22,2.1671717147603533e-22,-3.149460151287626
560000000.0,5.237240879787127e-22,2.166644847508423e-22,-3.149462544296728
570000000.0,5.233871446248284e-22,2.1652791194847304e-22,-3.149465075333006
580000000.0,5.233136294081088e-22,2.165007868076628e-22,-3.149467102195288
590000000.0,5.229945894179105e-22,2.163762981279229e-22,-3.1494692782266243
600000000.0,5.227993882387667e-22,2.1629540960837675e-22,-3.149471444507173
610000000.0,5.226334442270447e-22,2.162338271054106e-22,-3.1494732153345835
620000000.0,5.2229066483296665e-22,2.160937294336301e-22,-3.1494750726336473
630000000.0,5.221897293752134e-22,2.16054084447039e-22,-3.149476863623202
640000000.0,5.218638575593857e-22,2.1592609721998787e-22,-3.1494785071355405
650000000.0,5.216499386273881e-22,2.1583618463103747e-22,-3.1494800020002596
660000000.0,5.214645687527781e-22,2.157660085835847e-22,-3.149481529315936
670000000.0,5.211141795752437e-22,2.1562194963721054e-22,-3.1494831026622987
680000000.0,5.209876643966247e-22,2.1557083947188253e-22,-3.1494843109169794
